sitename,cultivar
MAC Field Scanner Season 6 Range 27 Column 12,PI585461
MAC Field Scanner Season 6 Range 27 Column 13,PI329403
MAC Field Scanner Season 6 Range 27 Column 14,PI521290
MAC Field Scanner Season 6 Range 27 Column 15,PI329570
MAC Field Scanner Season 6 Range 27 Column 16,SP1516
MAC Field Scanner Season 6 Range 28 Column 1,SP1516
MAC Field Scanner Season 6 Range 28 Column 2,PI329645
MAC Field Scanner Season 6 Range 28 Column 3,PI152771
MAC Field Scanner Season 6 Range 28 Column 4,PI563196
MAC Field Scanner Season 6 Range 28 Column 5,PI155885
MAC Field Scanner Season 6 Range 28 Column 6,PI563009
MAC Field Scanner Season 6 Range 28 Column 7,PI521152
MAC Field Scanner Season 6 Range 28 Column 8,PI585961
MAC Field Scanner Season 6 Range 28 Column 9,PI646242
MAC Field Scanner Season 6 Range 28 Column 10,PI569427
MAC Field Scanner Season 6 Range 28 Column 11,PI455221
MAC Field Scanner Season 6 Range 28 Column 12,PI276837
MAC Field Scanner Season 6 Range 28 Column 13,PI329841
MAC Field Scanner Season 6 Range 28 Column 14,PI156463
MAC Field Scanner Season 6 Range 28 Column 15,PI641835
MAC Field Scanner Season 6 Range 28 Column 16,SP1516
MAC Field Scanner Season 6 Range 29 Column 1,SP1516
MAC Field Scanner Season 6 Range 29 Column 2,PI330803
MAC Field Scanner Season 6 Range 29 Column 3,PI152971
MAC Field Scanner Season 6 Range 29 Column 4,PI303658
MAC Field Scanner Season 6 Range 29 Column 5,PI511355
MAC Field Scanner Season 6 Range 29 Column 6,PI521019
MAC Field Scanner Season 6 Range 29 Column 7,PI152816
MAC Field Scanner Season 6 Range 29 Column 8,PI257600
MAC Field Scanner Season 6 Range 29 Column 9,PI145619
MAC Field Scanner Season 6 Range 29 Column 10,PI156871
MAC Field Scanner Season 6 Range 29 Column 11,PI643008
MAC Field Scanner Season 6 Range 29 Column 12,PI154846
MAC Field Scanner Season 6 Range 29 Column 13,PI570091
MAC Field Scanner Season 6 Range 29 Column 14,PI563006
MAC Field Scanner Season 6 Range 29 Column 15,PI525049
MAC Field Scanner Season 6 Range 29 Column 16,SP1516
MAC Field Scanner Season 6 Range 30 Column 1,SP1516
MAC Field Scanner Season 6 Range 30 Column 2,PI154988
MAC Field Scanner Season 6 Range 30 Column 3,PI197542
MAC Field Scanner Season 6 Range 30 Column 4,PI570106
MAC Field Scanner Season 6 Range 30 Column 5,PI656065
MAC Field Scanner Season 6 Range 30 Column 6,PI513898
MAC Field Scanner Season 6 Range 30 Column 7,PI217691
MAC Field Scanner Season 6 Range 30 Column 8,PI534165
MAC Field Scanner Season 6 Range 30 Column 9,PI562971
MAC Field Scanner Season 6 Range 30 Column 10,PI35038
MAC Field Scanner Season 6 Range 30 Column 11,PI534120
MAC Field Scanner Season 6 Range 30 Column 12,PI655972
MAC Field Scanner Season 6 Range 30 Column 13,PI535792
MAC Field Scanner Season 6 Range 30 Column 14,PI576401
MAC Field Scanner Season 6 Range 30 Column 15,PI641830
MAC Field Scanner Season 6 Range 30 Column 16,SP1516
